STATION,NAME,DATE,AWND,DAPR,DASF,MDPR,MDSF,PGTM,PRCP,SNOW,SNWD,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-05-31,6.71,,,,,,0.03,0,0,180,,12.1,,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-01,9.84,,,,,,0,0,0,260,260,23,28,1,1,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-02,11.41,,,,,,0,0,0,320,320,23.9,31.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-03,11.41,,,,,,0.02,0,0,300,320,23.9,29.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-04,6.26,,,,,,0.09,0,0,150,150,16.1,19.9,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-05,7.61,,,,,,0.4,0,0,110,120,19.9,25.1,1,,1,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-06,11.63,,,,,,0.05,0,0,20,30,18.1,23,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-07,9.17,,,,,,0,0,0,160,30,15,21,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-08,5.82,,,,,,0,0,0,90,90,15,19,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-09,9.4,,,,,,0,0,0,320,290,21.9,29.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-10,11.18,,,,,,0,0,0,180,180,23,29.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-11,10.51,,,,,,0,0,0,190,190,21,25.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-12,11.18,,,,,,0,0,0,190,180,21,23,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-13,9.84,,,,,,0,0,0,220,220,21,25.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-14,7.16,,,,,,0.3,0,0,40,30,17,23,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-15,9.62,,,,,,0,0,0,140,140,17,21.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-16,8.5,,,,,,0.03,0,0,100,90,19.9,23,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-17,5.82,,,,,,0.34,0,0,150,140,12.1,14.1,1,1,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-18,15.66,,,,,,0,0,0,180,180,30,38.9,1,1,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-19,17.22,,,,,,1.12,0,0,180,180,32,40.9,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-20,13.65,,,,,,0.01,0,0,230,260,23,30,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-21,11.63,,,,,,0,0,0,240,240,21,23.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-22,8.5,,,,,,0,0,0,180,180,19.9,23.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-23,11.41,,,,,,0,0,0,220,220,21,25.1,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-24,12.08,,,,,,1.73,0,0,310,270,25.9,31.1,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-25,9.62,,,,,,0,0,0,330,330,23.9,29.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-26,11.63,,,,,,0,0,0,190,190,23,28,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-27,8.95,,,,,,0.11,0,0,190,180,18.1,21.9,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-28,11.86,,,,,,0,0,0,190,190,23,28,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-29,16.33,,,,,,0,0,0,190,180,33.1,38.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-06-30,14.99,,,,,,0,0,0,190,190,29.1,36.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-01,12.3,,,,,,0.53,0,0,190,180,25.1,32,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-02,10.07,,,,,,0,0,0,180,180,19.9,25.1,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-03,7.83,,,,,,0,0,0,220,220,19.9,23.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-04,6.49,,,,,,0,0,0,20,30,16.1,19,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-05,8.95,,,,,,0,0,0,130,130,17,21,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-06,8.28,,,,,,0,0,0,110,110,14.1,17,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-07,8.95,,,,,,1.92,0,0,300,300,25.9,30,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-08,10.96,,,,,,0,0,0,270,260,23.9,28,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-09,11.41,,,,,,0,0,0,190,190,19.9,23,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-10,12.75,,,,,,0,0,0,180,180,28,34,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-11,9.84,,,,,,0.16,0,0,230,240,23.9,35.1,1,,1,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-12,13.2,,,,,,0.01,0,0,240,240,25.9,31.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-13,10.96,,,,,,0.03,0,0,340,320,25.1,30,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-14,9.17,,,,,,0.21,0,0,100,90,16.1,21,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-15,5.82,,,,,,0.01,0,0,170,170,13,15,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-16,8.5,,,,,,0,0,0,190,170,16.1,18.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-17,9.17,,,,,,0,0,0,170,160,18.1,23,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-18,9.4,,,,,,0,0,0,190,170,18.1,25.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-19,11.41,,,,,,0,0,0,180,180,21.9,25.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-20,9.4,,,,,,0,0,0,190,180,21,23.9,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-21,10.74,,,,,,0,0,0,230,220,21,25.1,,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-22,7.61,,,,,,0.62,0,0,330,330,15,17,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-23,7.83,,,,,,0.37,0,0,110,110,16.1,19.9,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-24,11.41,,,,,,0.78,0,0,30,20,25.9,32,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-25,7.38,,,,,,0,0,0,40,40,13,15,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-26,7.83,,,,,,0,0,0,190,170,14.1,19.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-27,9.84,,,,,,0,0,0,190,200,17,19.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-28,6.04,,,,,,0,0,0,140,140,13,15,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-29,17,,,,,,0.01,0,0,40,40,30,38,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-30,9.17,,,,,,0,0,0,210,40,16.1,19.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-07-31,8.5,,,,,,0,0,0,180,210,15,19,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-08-01,8.05,,,,,,0,0,0,170,170,16.1,18.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-08-02,7.38,,,,,,0.01,0,0,320,320,30,36,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-08-03,7.61,,,,,,0,0,0,180,180,16.1,19.9,,,,,,,,,
